MCS,TotalCells,NonCycling,CycleG1,CycleS,CycleG2,CycleM
441,145,110,15,9,11,0
442,145,111,14,9,11,0
443,145,112,14,8,11,0
444,145,114,14,6,11,0
445,145,115,14,5,11,0
446,145,113,15,6,11,0
447,145,111,15,8,11,0
448,145,109,16,8,12,0
449,145,109,16,8,12,0
450,145,110,16,8,11,0
451,145,112,15,7,11,0
452,145,112,15,6,12,0
453,145,110,16,6,13,0
454,145,110,16,6,13,0
455,145,110,16,6,13,0
456,145,111,15,6,13,0
457,145,112,15,6,12,0
458,145,112,15,5,13,0
459,145,113,15,5,12,0
460,145,114,15,4,12,0
461,145,112,16,5,12,0
462,145,109,14,7,15,0
463,145,109,14,7,15,0
464,145,109,14,7,15,0
465,145,109,13,8,15,0
466,145,110,13,7,15,0
467,145,109,14,7,15,0
468,145,108,14,7,16,0
469,145,107,14,7,17,0
470,145,106,15,7,17,0
471,145,106,13,9,17,0
472,145,106,13,8,18,0
473,146,104,15,8,18,1
474,147,103,16,7,20,1
475,147,103,18,7,19,0
476,147,104,17,8,18,0
477,147,102,17,8,20,0
478,147,103,16,8,20,0
479,147,103,15,9,20,0
480,147,103,13,11,20,0
481,147,103,13,11,20,0
482,148,103,13,11,20,1
483,148,105,13,10,20,0
484,148,106,13,9,20,0
485,148,104,14,9,21,0
486,149,104,14,9,21,1
487,149,106,14,9,20,0
488,149,107,15,7,20,0
489,149,107,15,6,21,0
490,149,108,15,5,21,0
491,149,110,15,4,20,0
492,149,111,15,3,20,0
493,149,112,14,4,19,0
494,149,111,14,5,19,0
495,149,109,14,7,19,0
496,149,110,14,6,19,0
497,149,107,17,6,19,0
498,149,109,18,6,16,0
499,149,111,18,5,15,0
500,149,111,18,5,15,0
501,149,110,18,5,16,0
502,149,110,16,7,16,0
503,150,109,17,7,16,1
504,150,111,17,7,15,0
505,150,111,17,7,15,0
506,150,111,17,7,15,0
507,151,112,16,7,15,1
508,152,113,15,8,15,1
509,153,116,16,7,13,1
510,153,117,16,7,13,0
511,153,120,16,5,12,0
512,153,120,16,5,12,0
513,153,119,16,5,13,0
514,153,117,17,5,14,0
515,153,117,15,7,14,0
516,153,117,14,8,14,0
517,153,115,15,9,14,0
518,153,116,15,8,14,0
519,153,115,15,8,15,0
520,154,116,15,7,15,1
521,154,117,14,8,15,0
522,155,117,15,7,15,1
523,155,118,15,8,14,0
524,155,116,16,8,15,0
525,155,117,16,8,14,0
526,155,116,17,8,14,0
527,155,117,17,8,13,0
528,155,118,16,7,14,0
529,156,118,16,7,14,1
530,156,118,18,6,14,0
531,156,118,18,6,14,0
532,156,118,18,6,14,0
533,156,119,17,7,13,0
534,156,121,16,8,11,0
535,156,121,15,9,11,0
536,156,122,15,9,10,0
537,157,122,15,9,10,1
538,157,122,16,9,10,0
539,158,121,17,9,10,1
540,158,121,17,10,10,0
541,158,118,18,11,11,0
542,158,118,18,10,12,0
543,158,119,19,8,12,0
544,158,119,18,9,12,0
545,158,117,21,9,11,0
546,158,117,19,11,11,0
547,158,117,19,11,11,0
548,158,118,19,11,10,0
549,158,118,18,12,10,0
550,159,118,16,14,10,1
551,159,121,16,12,10,0
552,159,120,16,12,11,0
553,160,120,17,11,11,1
554,160,121,17,11,11,0
555,160,122,17,10,11,0
556,160,121,17,11,11,0
557,160,121,18,10,11,0
558,160,120,19,10,11,0
559,160,121,19,9,11,0
560,160,121,19,9,11,0
561,160,121,21,7,11,0
562,160,121,22,7,10,0
563,160,121,22,7,10,0
564,160,121,23,6,10,0
565,160,120,23,6,11,0
566,160,119,24,5,12,0
567,160,118,23,6,13,0
568,160,117,23,6,14,0
569,160,116,24,6,14,0
570,161,116,24,6,14,1
571,161,119,24,5,13,0
572,161,119,24,5,13,0
573,161,119,23,6,13,0
574,161,119,23,6,13,0
575,161,119,22,7,13,0
576,162,119,22,7,13,1
577,162,121,22,7,12,0
578,162,120,21,8,13,0
579,162,120,20,9,13,0
580,162,120,20,9,13,0
581,162,121,19,10,12,0
582,162,117,21,10,14,0
583,163,118,21,10,13,1
584,163,119,19,12,13,0
585,163,119,19,11,14,0
586,163,120,20,11,12,0
587,164,121,20,10,12,1
588,165,122,20,9,13,1
589,165,123,21,9,12,0
590,166,121,21,9,14,1
591,166,122,20,10,14,0
592,166,123,20,10,13,0
593,166,124,19,10,13,0
594,166,123,21,9,13,0
595,166,123,20,10,13,0
596,166,123,20,10,13,0
597,167,118,24,10,14,1
598,167,118,25,10,14,0
599,167,119,24,11,13,0
600,167,118,26,10,13,0
601,167,116,27,10,14,0
602,168,116,27,10,14,1
603,168,115,29,10,14,0
604,168,115,28,11,14,0
605,168,115,29,10,14,0
606,168,114,29,11,14,0
607,168,113,27,14,14,0
608,168,114,27,12,15,0
609,168,113,29,11,15,0
610,168,111,28,13,16,0
611,168,113,26,14,15,0
612,168,113,27,13,15,0
613,168,115,26,12,15,0
614,168,115,26,12,15,0
615,168,118,26,11,13,0
616,169,118,25,12,13,1
617,170,119,25,12,13,1
618,170,120,26,12,12,0
619,170,119,27,12,12,0
620,171,120,27,11,12,1
621,171,121,27,11,12,0
622,171,122,27,10,12,0
623,171,121,26,11,13,0
624,171,123,26,9,13,0
625,171,123,25,10,13,0
626,171,123,27,10,11,0
627,171,123,27,10,11,0
628,172,122,27,11,11,1
629,172,124,27,11,10,0
630,172,124,27,11,10,0
631,172,122,27,12,11,0
632,173,121,27,13,11,1
633,173,122,27,13,11,0
634,173,122,27,13,11,0
635,174,120,29,13,11,1
636,174,120,30,11,13,0
637,174,118,31,11,14,0
638,174,121,31,10,12,0
639,174,122,29,11,12,0
640,174,124,26,12,12,0
641,174,124,25,13,12,0
642,174,124,25,12,13,0
643,174,124,23,14,13,0
644,174,122,23,15,14,0
645,175,123,23,15,13,1
646,175,125,22,16,12,0
647,175,126,22,15,12,0
648,175,124,23,15,13,0
649,175,123,24,14,14,0
650,176,123,24,14,14,1
651,176,123,25,14,14,0
652,176,124,25,14,13,0
653,176,124,25,14,13,0
654,177,124,25,14,13,1
655,178,127,25,12,13,1
656,178,127,25,13,13,0
657,178,126,25,13,14,0
658,178,127,25,12,14,0
659,178,126,26,12,14,0
660,178,126,26,12,14,0
661,178,126,28,10,14,0
662,178,127,27,10,14,0
663,178,125,28,10,15,0
664,178,123,30,9,16,0
665,178,123,29,10,16,0
666,178,123,29,11,15,0
667,178,123,28,12,15,0
668,178,123,28,11,16,0
669,178,123,29,11,15,0
670,178,125,28,12,13,0
671,178,124,27,13,14,0
672,178,125,26,14,13,0
673,178,127,26,12,13,0
674,178,128,25,13,12,0
675,178,130,25,11,12,0
676,180,130,23,12,13,2
677,180,132,22,13,13,0
678,180,129,23,13,15,0
679,180,129,23,11,17,0
680,180,129,22,11,18,0
681,180,131,22,10,17,0
682,180,132,23,8,17,0
683,180,132,22,9,17,0
684,180,132,22,9,17,0
685,180,133,21,9,17,0
686,182,133,22,8,17,2
687,182,135,22,8,17,0
688,182,135,22,7,18,0
689,182,135,23,7,17,0
690,182,133,21,10,18,0
691,182,131,23,10,18,0
692,182,129,24,10,19,0
693,182,127,23,12,20,0
694,182,127,23,12,20,0
695,182,128,23,12,19,0
696,182,128,23,12,19,0
697,182,127,24,12,19,0
698,182,125,27,11,19,0
699,182,125,27,11,19,0
700,183,126,27,10,19,1
701,183,127,26,11,19,0
702,183,127,24,13,19,0
703,184,127,25,12,19,1
704,184,126,25,13,20,0
705,184,126,25,13,20,0
706,184,127,25,13,19,0
707,184,127,25,12,20,0
708,184,127,25,12,20,0
709,184,127,26,12,19,0
710,184,127,26,12,19,0
711,184,128,28,10,18,0
712,184,128,27,11,18,0
713,185,128,28,11,17,1
714,186,128,28,11,18,1
